,menu
3774,Malabar
3775,Beef Curry
3776,Catering Garlic Naan (Party)
3777,Chicken Momo (50 Pieces)
3778,Desi Salad
3779,Malai Kofta (Lunch)
3780,Tiffin Full
3781,TAJ MAHAL LG
3782,Baklava
3783,Papad (4 Pieces)
3784,Keema Nan
3785,Chicken ( Small Tray )
3786,Bhindi Achari
3787,GOBI 65
3788,Tamrind Chutney
3789,Kukhura Ko Masu Ra Saag
3790,PLAIN NAAN BRUNCH
3791,Honest Special Biryani
3792,Dum Prawns Biryani
3793,Basmati Jeera Rice
3794,Kothimeera Dosa
3795,Clay Oven Mixed Grill
3796,Kofta Pulav
3797,Malai Kofta
3798,Mustard Lamb
3799,"""VEG"" MADRASI"
3800,Goat /mutton Curry
3801,P.V. Korma
3802,Tofu Kadhai
3803,Lunch Chicken Korma
3804,Shahi Bhindi Masala (V)
3805,Papad (4 Pcs)
3806,Catering Aloo Chlee (Party)
3807,Garden Salad with Chicken Tikka Kebab
3808,Veg Fiery Fried Rice
3809,S Pellegrino
3810,Chicken Biryani Catering
3811,Shahi Panner Korma ( Small Tray )
3812,19. Mix & Match Lamb Tikka Platter
3813,Paneer Tikka Masala Small
3814,Mint Chutney (Spicy)
3815,Chicken Chili Large
3816,Chicken Shish Kabab
3817,"CUVEE 1821 ,ZONIN PROSECCO"
3818,Keema Naan Large
3819,Veg Chettinad
3820,Lamb Do Pyaza
3821,Aloo Gobi Masala (Potato & Cauliflower)
3822,Dal Fry (Tadka)
3823,Masala Gosht
3824,Raita (Lunch)
3825,Kali Mirch Wrap
3826,Kerala Shrimp Moilee
3827,Chilli Idli
3828,Potato Paratha
3829,Veggie Spring Roll
3830,Rasam
3831,Dhaba Shrimp Fried Rice
3832,Vegetable Korma Small
3833,Vegetable Roll (2 Pc)
3834,Catering Gallon Of Mango Lassi
3835,Baingan Bharta (V)
3836,Chicken MoMo (Fried)
3837,Poori (2pc)
3838,"""Cut Mirchi"" Biryani"
3839,DESI CHICKEN CURRY LUNCH
3840,Pineapple Juice
3841,Vegetable Chetinad
3842,Tofu Do Piaza Large
3843,Tofu Saag Large
3844,Shrimp Poori
3845,Chicken Vindaloo (Lunch)
3846,Chicken Wings (5 Pieces)
3847,Hyderabadi Roti
3848,Evian 500ml Water
3849,Chilly Garlic Naan
3850,Dosa + Mutton Curry
3851,Saffron Lamb Curry
3852,Kofta Zaffrani
3853,Chicken Madras (Lunch)
3854,Veg Shanti Platter
3855,Batata Vada
3856,Murgh Khorma
3857,Vegan Tadka Dal
3858,Mix Vegetable Pakora For 25 PCS
3859,"""Gongura"" Chicken Curry"
3860,Gobhi Charchari
3861,Spicy Spinach Paneer Momo
3862,Aloo Naan ( 10 pc )
3863,Paneer - Vegetable Fried Rice
3864,Chicken Curry Roll
3865,Egg Curry
3866,Vegetarian Samosa( 50 Pieces)
3867,Goat Madras Curry (Bone-In)
3868,Gongura Idli
3869,Chicken Handi
3870,Dinner For Two Non-Veg
3871,Chicken Masakali
3872,Shrimp Tandoori Masala Catering
3873,Gobhi Matar Medium
3874,Onion Naan ( 10 pc )
3875,Catering Tofu Masala
3876,Large Rice
3877,Chili
3878,Chicken Dal Masala
3879,Vegetable Pakora (Spicy)
3880,Fish Curry Lunch
3881,Shrimp Do Paiza
3882,Lamb Saag Large
3883,Dry Fruit Falooda
3884,Lamb MoMo (Jhol)
3885,Spicy Chicken Momo
3886,Chicken Seek Kabab
3887,Tandoori Seafood Masala
3888,Catering Vegetable Samosa
3889,Rumali Roti
3890,Rasmalai Large
3891,Chicken Choyla
3892,Whole Wheat Chapati (2 Pieces)
3893,Juices
3894,Bhatmas Sandeko
3895,Vada Pav
3896,Chicken Biryani (boneless)
3897,Vegetable Kadhai
3898,Jeera Aloo( Vegan)
3899,Aloo Tikki- Chole Chaat
3900,Parotta Plain 2pc
3901,Begun Bhartha ( Small Tray )
3902,Batura
3903,Veg Biryani Large
3904,Jhanaeko Daal
3905,Joti Special Dinner For Two
3906,Potato Naan
3907,Bhelpuri
3908,Aloo Tikki (2 Pieces)
3909,Mutter Paneer
3910,Beef Tikka Masala
3911,Kingfisher Small
3912,Chole Bature
3913,Honest Spl. Masala Papad
3914,MO:MO Tikka Masla
3915,Mango Kulfi (Conical)
3916,"""POPEYE'S"" CHICKEN"
3917,Goat Roast Pulao
3918,Goat/Lamb Upgrade
3919,Chocolate Dosa
3920,Tandoori Duck Masala - House Special
3921,Maggi Cheese Masala
3922,24. Chicken Kofta
3923,Keema Naan Small
3924,Cake
3925,Chicken Drumsticks
3926,Goat Saag Curry
3927,Chicken Lollipop
3928,Dal Soup
3929,Old City Chicken Roast Biryani
3930,Chicken Makhni Khas
3931,Gulab Jamun 2pc
3932,12 OZ Spicy Garlic Chutney
3933,Choley Bhatura
3934,Minerva Special Idli Sambar (3 Pieces)
3935,Manchow Soup Chicken
3936,Keema Mutter Large
3937,THUMS UP
3938,Catering Tandoori Chicken
3939,THE FERRIS WHEEL
3940,"Veg ""Gongura"" Biryani"
3941,Goat Kadai
3942,Dhaba Egg Noodles
3943,Powerade
3944,Malai Chicken
3945,Chicken Jajfrezi
3946,Don Julio Blanco
3947,Punjabi Tikki
3948,SNAPPLE PEACH TEA
3949,Chili Baby Corn
3950,VEGETABLE COCONUT CURRY
3951,Chicken Manchuria
3952,Lamb Shank Curry
3953,Limica
3954,LAHSOONI SHRIMP
3955,"Veg ""Avakaya"" Biryani"
3956,Shrimp Saagwala Small
3957,Veggie Curry
3958,Shrimp Do-Piaza
3959,Baingan-Do- Aloo
3960,Mulligatawney
3961,Onion Chilli Naan
3962,Catering Gallon Of Sweet Lassi
3963,Veg Biryani( MT)
3964,Chicken Cheese Naan W/Fries
3965,"Aloo Tikki Chat ( Dairy , Gluten )"
3966,Roomali Roti
3967,Clam Chowder Soup
3968,Gongura Dosa
3969,Badam Kulfi
3970,Shrimp Biriyani Catering
3971,Choila
3972,Cheese Chilli Naan
3973,Vegetable Makhani
3974,Tandoori Chicken (2 Leg Qtrs)
3975,Chotpoti
3976,THE NEEDHAM MELT
3977,1. Chicken Tikka Platter
3978,Chick Tikka Naan
3979,Chicken Tikka Masala Meal
3980,Punjabi Goat Curry
3981,Aloo Baingan
3982,Mango Lassi(Yogurt Smoothie)
3983,Lasooni Gobi
3984,Spring Dosa
3985,Bottle Soda
3986,Kulfi-malai
3987,Nirvana Lassi Freeze
3988,BURGER SLIDER COMBO
3989,Veg Hakka Noodles
3990,Vegetable Fried Momo
3991,Spinach Nan
3992,Kukhura Ko Masu
3993,Butter Paneer Combo Meal
3994,Kerela Fish Curry
3995,Coconut Tomato Soup
3996,Lamb Curry Lunch
3997,Spring Roll (2)
3998,Chili Panner
3999,Moscato D' Asti
4000,Aloo (Potato) Saag
4001,Half Dal Makhani
4002,Tarka Dal (Vegan)
4003,Rayalaseema Kodi Vepudu
4004,Navratna Korma
4005,Schezuan Egg & Chicken Hakka Noodles
4006,Shami Kabab (2 Pc)
4007,"""Gongura"" Boneless Chicken Biryani"
4008,Chicken Pepper Fry
4009,Gobhi Paratha
4010,Chicken Mushroom Balti
4011,Rose Lassi
4012,Chicken Tikka Kebab
4013,Aloo Gobi (V)
4014,Kids Special Noodles (No Spice)
4015,ROSE MILK
4016,"""Gongura"" Mutton Biryani"
4017,Mushroom Masala
4018,Matar Paneer Medium
4019,Lunch Mango Chicken Curry
4020,Paneer Tika Masala (Kathi Roll)
4021,Samosa (For 2)
4022,Chicken Seekh Kebab
4023,Begun Bhartha ( Large Tray )
4024,Schezwan Egg
4025,Lemonade
4026,8.Lamb Gyro Platter
4027,Vegetable Hariwali Momo Masala
4028,Lahori Chicken Karahi
4029,Goat Laal Maas
4030,Chikoo Milkshake
4031,DAAL TARKA
4032,Greek Salad
4033,Kulfi
4034,Aloo Mattar( Vegan)
4035,Poori Medium
4036,Vegetable Karahi
4037,Dhania Jeera Chicken
4038,Chicken Garlic
4039,Delivery Order
4040,Aloo Gobhi Paratha
4041,Lamb Pepper Fry
4042,Catering Beef Curry
4043,Chole Bhadura
4044,Mix Veggie Curry
4045,Don Julio Anejo
4046,Chocolate Ice Cream
4047,Chicken Boneless Biryani
4048,Dum Rice
4049,Borhani
4050,Veg Curry
4051,Malai Kofta Lajawab
4052,Cheesecake
4053,Chaat
4054,Medhu Bada
4055,Hyderabad Chicken Biryani
4056,Masala Sauce 8oz
4057,Lamb Biryani Medium
4058,Shrimp Saffron Curry
4059,Plain Uttapam
4060,Kheem Paratha
4061,D. Mixed Veggie Platter
4062,Railway Goat Curry
4063,Mixed Vegetable Curry ( Small Tray )
4064,"""Avakaya"" Prawns Biryani (Shrimp)"
4065,Lamb Cholay
4066,Chicken Finger
4067,Mad Chili Wings
4068,Half Tandoori Chicken
4069,Bhelpuri (Vegan)
4070,Gajar Ka Halwa
4071,Gobhi Matar Large
4072,Soft Drink
4073,Date And Apricot Naan Bread
4074,Dal Gobe
4075,Chocolate Chip Ice Cream
4076,SAPPORO PREMIUM BEER
4077,Tomato Cilantro Uttappam
4078,Mustard Lamb Chop
4079,Rajma
4080,Mela Vegetarian Platter
4081,Nadan (Kerala) Chicken Curry
4082,Vegan Samosa
4083,Paneer Chili (Lunch)
4084,Cheese Dosa
4085,Bhuna Lamb Large
4086,Goan Shrimp Curry Small
4087,Boneless Chicken 65 Biryani
4088,Paneer Chili Roll
4089,Andhra Payasam (Kheer)
4090,Lamb Keema Mutter
4091,Vegetable Briyani
4092,Chettinad Lamb Curry
4093,Ulavacharu Mutton Dum Biryani
4094,Aloo Matter
4095,Zeera Aloo
4096,TARIWALA MUTTON CURRY
4097,Goat Curry
4098,Karampodi
4099,Rashmalai
4100,Basmati Chawal
4101,RESHMI PAKORAS MEDIUM
4102,Fish Moilee
4103,Puri + Goat Kheema Curry
4104,Pooris (2)
4105,Chicken Pepper Soup
4106,Samosa 1pc
4107,Aloo Matar (Lunch)
4108,Papuddum
4109,Meat - Tiffin Box For Two - ???? ????? ?????
4110,Chili Mushrooms
4111,Curry Boneless Chicken Roti Wrap
4112,Kids Buffet
4113,Aloo Papri Chaat
4114,Chicken Lollipop (4 Pieces)
4115,Paneer Biryani
4116,Lamb Do-Piaza Small
4117,Veg Tadka Dal
4118,Chicken Kashmiri
4119,Extra Puri
4120,CANNOLI W/ CHOCOLATE CHIPS
4121,Shrimp Do-Pazza
4122,Chilli Naan
4123,Goat Kurma
4124,Sambhar
4125,Ghee Podi Idly
4126,12. LAMB SHANK ON BIRYANI Platter
4127,Kali Mirch Ke Tikki
4128,Goan Shrimp Curry Medium
4129,Chinese Bhel
4130,Gobhi 65
4131,Chili Shrimp
4132,Butter Chicken
4133,12 PIECE WINGS
4134,Rasmalai (20 Piece)
4135,Chole Bhotre
4136,Lesley - Catering For Ten Guests (Non-Veg)
4137,Lamb DoPiaza
4138,Butter Fish
4139,Raita Yogurt ( Dairy )
4140,Palak Gosht
4141,Vanilla Jamun
4142,Rasa Malai(3 Pieces)
4143,Dhaba Salad
4144,Khukhura Ko Masu Huddy Wala
4145,Tandoori Chicken ( Full )
4146,Carrot Halwa
4147,BLUEMOON
4148,Malai Kofta Large
4149,Fish Coconut
4150,5 Mixed Vegetable Pakoras
4151,Ginger Ice-Cream
4152,Chicken Biryani Hyderanadi
4153,Milk
4154,Plain Paratha Large
4155,Samosa Chaat
4156,Kids Chicken Wings (No Spice)
4157,Avakaya Idli
4158,Chicken Kofta (2 pcs)
4159,Shrimp Kadhai
4160,Coriander Chilli Naan
4161,Catering Shrimp Masala
4162,Small Masala Sauce
4163,4oz Mint Chutney
4164,Chicken Malai
4165,Boneless Chicken Strips & French Fries
4166,Tofu Bhurji.
4167,Medu Vada (3 Pcs)
4168,SUNNY LEONE
4169,Boti Kebab (6 Chopped)
4170,Omelet
4171,Chicken Chow Mein
4172,CARONA EXTRA
4173,MISS VICKIES SEA SALT CHIPS
4174,Aloo Tikki (Lunch)
4175,Yougurt Plain 12 Oz
4176,Phool Ghobi Manchurian (Indo-Chinese)
4177,Tangy Gold Tenders
4178,Water
4179,Chicken Saag Korma Masala
4180,Aloo Paratha (Wheat Flour)
4181,Kashmiri Malai Kofta
4182,Curry Bone Chicken (16oz)
4183,FLYING HORSE LG
4184,Shrimp Biryani Large
4185,Upma
4186,Gobi Manchuria Gravy
4187,Kale Fritters(Hariyali Bhajia)
4188,Kashmiri Kabab
4189,Laccha Parantha
4190,Veg Pakoras
4191,NAAN LUNCH
4192,Goat Momo
4193,Dahi Papri Chatt
4194,Pani-Puri
4195,Saag
4196,Lamb Momo (8 Pcs.)
4197,Non-Vegetarian Thali
4198,MUSHROOM SAMOSA LARGE
4199,Aloo Matar Small
4200,Cheese Sandwich
4201,GATORADE FROST
4202,Veggie Yakisoba
4203,Aloo Tikki for 50 PCS.
4204,Shake
4205,Chicken 65 Small
4206,Veg Tawa Biryani
4207,MASALADAR KEEMA PAV LUNCH
4208,Lamb Saag (Lunch)
4209,Patna Pulka
4210,Vegan Sauce ( Curry/Korma/Tikka Masala/Vindaloo/Xacutti)
4211,Lamb Dosa
4212,Fresh Mango Mousse
4213,Chicken Chilli
4214,Bhtura
4215,Lamb Seekh Kabab Wrap
4216,Vegetable Samosa (2 Pcs)
4217,Vita Coconut Water
4218,Coconut Shirmp
4219,Malabar Paratha (2pcs)
4220,Sze Egg Fried Rice
4221,Tandoori Fish
4222,COKE CAN
4223,Veg. Corn Soup
4224,TAVA MURGH LUNCH TOGO
4225,Dinner For One (Non-Veg)
4226,Catering Goat Curry
4227,Cappuccino
4228,Chicken Kabab (Boneless)
4229,Lamb Shek Kabab ( Small Tray )
4230,Curry Express Special Wings
4231,Fried Jhinga Poori
4232,Aloo Chana Butter Masala
4233,GARLIC NAN LUNCH
4234,Mountain Dew (2 Liter)
4235,Vegetable Jalfrezi (Lunch)
4236,Beef Nihari Platter
4237,Chicken Dahiwala
4238,Keema Saag
4239,Tadka Dal Large
4240,Himalayan Bistro Chef Salad
4241,Pistachio Kulfi
4242,Dinner (For Two) Vegetarian
4243,Chicken Coconut Korma (Lunch)
4244,Beef Curry (Large Tray )
4245,Chicken Saag Large
4246,Vegetable Pizza
4247,Bhatura Bread Special
4248,Chicken Fried Chilli Momo
4249,Gongura Paneer Biryani
4250,70Mm Dosa (Paper Masala)
4251,Lunch Buffet
4252,Dal Kachori 1 Pc
4253,Hand Made Chapati
4254,Fish Coconut Korma Curry
4255,Lamb Hyderabadi Biryani
4256,Papadam (2 Pieces)
4257,DAHI POORI
4258,Paneer Tandoori
4259,Chicken Tika Masala (Kathi Roll)
4260,Nellore Fish Pulusu (Fish Curry)
4261,Punjabi Mutton
4262,Chana/Masoor Dal
4263,Tall Glass Soda
4264,Beef/Lamb/Goat Madras
4265,Lamb Rogan Josh Catering
4266,55. Double Naan
4267,Chicken Tikka Roll-Up
4268,Chikoo Ice Cream
4269,Combo Dinner for Two
4270,Steak And Cheese
4271,"( New Dish ) Maharani Bhindi Masala ( Gluten Free , Vegan )"
4272,Lustau Sherry
4273,Butter Chicken (Boneless)
4274,Bollywood Wings
4275,Dum Ka Kheema (Goat)
4276,Chicken Tikka Dal Small
4277,Nirvana Goat Medium
4278,CHOCOLATE FROSTED VANILLA CUPCAKE
4279,36. Beef Chapli Naan
4280,32 Oz. Vegetable Family Dish
4281,Malai Kofta Small
4282,Murgha Chatt
4283,Lamb Vindloo
4284,Chicken Makhni - House Special
4285,Paradise Chicken Fry Biryani (NEW)
4286,Lamb Madrass
4287,CHICKEN BIRYANI LUNCH
4288,Lamb Kadhai
4289,Catering Shrimp Curry
4290,Szechuan Vegetable Noodles
4291,Bhanta Ko Tarkari
4292,Chili Prawns (Chili Shrimp)
4293,Non-Vegetarian Platter
4294,Catering Chana Paneer Masala (Party)
4295,Can Soda
4296,Mozzarella Cheese Dosa
4297,Catering Can Of Ginger Ale
4298,Uttapam Vegetable
4299,Fanta 12 OZ
4300,Roti Pack (2 Pieces)
4301,Kali Mirch Ke Tikka Medium
4302,Tikka - Chicken (Naan)
4303,Shrimp Korma
4304,PANEER KATI ROLL
4305,Lamb Curry ( Large Tray )
4306,French Fry
4307,Minerva Cut Mirchi
4308,Vindaloo
4309,MURGH KADHAI
4310,MEAT SAMOSA LARGE
4311,Lunch Box -Veg Combo
4312,Bhatura Medium
4313,Mixed Hak Noodle
4314,8 Oz Extra Onions/ Lemons
4315,Phool Gobhi Manchurian
4316,Goat Vindaloo Curry
4317,Mixed Vegetables
4318,Lamb Vindaloo Medium
4319,Grilled Seafood Platter
4320,Avakaya Goat Curry
4321,Badami Kulfi Large
4322,Tocari Chat Papri
4323,Lunch Mushroom Curry
4324,Vegetarian Uttapam
4325,Panner Pakora (Lunch)
4326,Extra Pav
4327,Rosemary Lamb Tips
4328,Everest Style Potatoes
4329,Virsa Bread Bassket
4330,"""KICKASS"" CHICKEN CHAAT"
4331,Catering Naan (Party)
4332,Smart Water
4333,Spring Water Bottle
4334,Chicken Tikka Saag (Lunch)
4335,Tofu Pakora
4336,Chicken Saag Medium
4337,Mango Chutney
4338,Mo Mo
4339,MEAT SAMOSA MEDIUM
4340,Vegetarian Dinner for Four
4341,Sabudana Vada
4342,Prawns 65 (Shrimp 65)
4343,Adraki Champ
4344,Indian Combo Menu 1
4345,Orange Fruit Juice
4346,Lamb Saag Small
4347,Kalmi Kabob (NOT GLUTEN FREE)
4348,Dahi Vada
4349,Indo Chinese Manchurian
4350,Rayo Ko Saag
4351,Lamb Boti Kebab Salad
4352,MUMBIACHI PAV BHAJI
4353,Bhindi Masala ( Large Tray )
4354,Flying Horse 22 Oz
4355,Butter Chicken Fries
4356,Soft Drinks
4357,Pepsi (Bottle)
4358,Party Order 10+
4359,Compositable Bag
4360,MAC & CHEESE-Large
4361,MANGO LASSI
4362,Salmon Masala
4363,Mughalai Chicken Curry
4364,Cheese Pizza
4365,Schezuan Dosa
4366,Shai Paneer Korma
4367,Yogurt Drink (Lassi)
4368,Sweet & Spicy Shrimp (Main)
4369,Lamb Tikka Saag
4370,Chicken Daal
4371,35. Beef Kofta Naan
4372,BAIGAN BHARTHA
4373,Afghani Kebab
4374,Paratha (Wheat Flour)
4375,Chicken Fingers
4376,Nirvana Biryani Small
4377,Szechuan Egg Fried Rice
4378,Veggie Palak
4379,Kashmiri Goat Madras
4380,Mela Biryani
4381,Vegeterian Platter
4382,Spinach & Onion Pakora
4383,Chef Special Salad
4384,Chana Masala Roll
4385,Coconut Sorbet
4386,Chicken Korma Medium
4387,VADA PAAV
4388,GOAT CHEESE KOFTA
4389,Tofu Tikka Masala
4390,ORGANIC KOMBUCHA
4391,Goat Saag With Bone
4392,Butter Chicken (NOT GLUTEN FREE)
4393,Idly Vepudu
4394,Tofu Masala Large
4395,LAMB BIRYANI
4396,Veg Coconut Korma
4397,Chicken - Tiffin Box For One - ???? ????? ?????
4398,Special Boneless 65 Chicken Biryani
4399,Chapathi Large
4400,Chicken Achari
4401,Rasa Malai (3pc)
4402,Sprite
4403,Dhaba Special Meat Thali
4404,Chicken Lettuce Wraps (NEW!)
4405,Keema Samosa (2)
4406,Tandoori Salmon
4407,Mini Cocktail Samosa
4408,Ras Malai (2)
4409,Mooli Paratha
4410,Shrimp Mushroom Do Paiza
4411,20 Oz. Poland Spring Water Bottle
4412,Large Pellegrino Sparkling
4413,VEG PAKORA MEDIUM
4414,Thums Up
4415,Ginger Ale (Party)
4416,Aloe Drink
4417,Veg Momo
4418,Graham's 10 Yr Tawny Port
4419,"Plates,Cup' Cutlery"
4420,Non-Veg Soup Of The Day
4421,Fanta
4422,Baingan Bhartha
4423,Tea (Darjeeling) (16 Cups)
4424,Doodhi(LongSqas) Halva
4425,Cheese French Fries
4426,Chicken Naan
4427,Goat (Bone-In) Curry
4428,Lacchaparatha
4429,Chatpata Thumbs Up
4430,Combination Of Gulab Jamun With Vanilla Ice Cream
4431,Goat Vindaloo (With Bone)
4432,Dhaba Shrimp Noodles
4433,Vegetable Grill
4434,2 Pcs Veg Samosa
4435,Dhaba Chicken Noodles
4436,Lamb Roast
4437,Lamb Saag (Spinach Lamb)
4438,Chicken Briyani
4439,Lamb Samosa
4440,Lamb Korma Medium
4441,Boti Tikka Kabab
4442,GAJJAR HALWA
4443,Veg. Raita
4444,Butter Chicken Masala
4445,Ulavacharu Goat Biryani
4446,Side Butter Chicken
4447,"""Avakaya"" Boneless Chicken Biryani"
4448,Mysore Bonda
4449,PARATHA
4450,"""1947"" Special Fish Pulusu (Avakaya/Gongura)"
4451,Chana Masala (Rice Plate)
4452,Goat Curry (With Bone) (Lunch)
4453,Tofu Chili
4454,Goat Sambar Rice
4455,HYDERABADI CHICKEN DUM BIRYANI
4456,Vegetable Pakora (7)
4457,Momo Masala
4458,Badami Kulfi(2)
4459,Vegetable Coconut Korma Curry
4460,Catering Gulab Jamon
4461,Chili Chicken Gravy
4462,Catering Paneer Naan
4463,Chili Chicken Wings
4464,Chicken Chapli (2 pcs)
4465,Rava Onion Chilli
4466,Rice
4467,Shaahi Paneer
4468,Andhra Curry
4469,Garlic Tamaor Curyy 12
4470,Goat Biryani (Bone In)
4471,BHUNA GOSHT LUNCH
4472,Egg Masala Omlet
4473,Saag With Makai Ka Roti
4474,Catering Lamb Rogan Josh (Party)
4475,European Eggplant Curry
4476,Paneer And Vegetable Tikka Masala
4477,Sarson Ka Saag With Makki Ki Roti
4478,Lamb Briyani
4479,Lemon Ginger Tea
4480,Palak Gosh
4481,Samosa (2)
4482,Tofu Salad
4483,Aloo Chole (Lunch)
4484,Lamb Do-Piaza
4485,Chaat Papri
4486,Sambar Vada
4487,Okra Bhaji
4488,Apple Fruit Juice
4489,Dhaba Platter
4490,Goat Masala (With Bone) (Lunch)
4491,Lamb Pao Bhaji
4492,Samosa Chat
4493,Paneer (Cottage Cheese) Tikka Masala
4494,Karahi Shrimp
4495,Himalayan Masala Chiya (16 Cups)
4496,Veg Tikka Masala
4497,Paneer Uttappam
4498,Chettinad Chicken
4499,Curry Shrimp Buss Up Shot Roti
4500,Gongura Egg Biryani
4501,Natukodi Ckn Biryani
4502,Chilli Chicken Biryani
4503,"""1947"" Chicken Fry Biryani"
4504,Goat Kheema Biryani
4505,Masala Papad
4506,Tandoor Mix Grill
4507,9. Lamb Tikka Platter
4508,Patron Silver
4509,Goat (small Tray )
4510,Lamb Chop
4511,Mint Naan
4512,Chef's Special Salad
4513,Karala Bhaji
4514,Vegetable Korma Large
4515,Catering Lamb Curry
4516,Veg Grill
4517,Garlic Gobi
4518,Monster Energy Drink
4519,Masala French Fries
4520,Bhel Puri Chatt
4521,Prawns Moilee Konkani
4522,Dhaba Special Lamb Curry
4523,Paneer Vindaloo
4524,THE FIGHTER
4525,Murgh Jalfrezi
4526,1. All Vegetable Combo Platter
4527,Still Water 12oz
4528,Vegetable Samosa Chaat
4529,All Meat Combo 1
4530,Chicken Malai Kebab ( Large Tray)
4531,Chicken Sandwich with French Fries
4532,Paneer Kadhai
4533,Chicken Korma Catering
4534,Chicken ( Large Tray)
4535,Lamb Boti Wrap
4536,Onion Paratha(Vegan)
4537,Mayuri Goat Dum Ka Biryani
4538,Indochinese Stir Fry
4539,Lamb Seekh Kebab Salad
4540,"""Mint"" Dosa"
4541,Green Tea
4542,Rogan Josh Small
4543,Chef Salad
4544,Tadka Dal (Tomato/Spinach)
4545,Extra Masala
4546,Bhaigun Bharta
4547,Badami Kheer (Rice Pudding)
4548,ONION PAKODA
4549,Aloo Palak Small
4550,Dahi Aloo Poori
4551,Dal Makhani (Vegan)
4552,Kali Mirch Ke Tikkey
4553,VEGETABLE SEEKH KABOB LUNCH TOGO
4554,Curry Goat Side Order ( 8oz )
4555,Shrimp Korma (Lunch)
4556,Lamb Balti
4557,Chole-Puri(4pc) Or (Bhature 3pc)
4558,HALIBUT MOILEE
4559,Kheer Large
4560,Malai Kabab
4561,Cococola
4562,Fresh Tomato Soup
4563,Chapati (2 Pcs)
4564,Egg Dum Biryani
4565,Onion Bhajia
4566,17. Mix & Match Beef Tikka Platter
4567,Nirvana Goat
4568,Salmon Timuri Masala
4569,Catering Daal Makhni (Party)
4570,Catering Chicken Phall
4571,Catering Freshly Baked Breads
4572,Keema Matar
4573,Ginger Ice Cream
4574,Shahi Gulab Jamun
4575,Chicken Pakora Salad
4576,Saag Goat
4577,Mushroom Saag
4578,Virgin Pina Colada
4579,BHAJI-PAV BUN 2PC
4580,Paneer Naan Bread
4581,Chicken Tandoori - Half
4582,Sze Shrimp Noodl
4583,Methi Mutter Paneer
4584,Red Snapper (Boneless) Fish Roti Wrap
4585,Choley Bhature
4586,Paneer Kaju Masala
4587,Gutti Vankaya Koora (Eggplant Special)
4588,Vegetarian Entree
4589,Chicken Manchurian
4590,Cashew Chicken
4591,Goat Saag (With Bone)
4592,Ginger Chicken Appetizer
4593,Makai Ka Roti
4594,Chicken Tikka Kabab
4595,Chicken Karahi
4596,Tandoori Platter
4597,Chicken Alfredo
4598,Vegetable Mix Appetizers
4599,Karam Podi Idli
4600,Chicken Soup (GF)
4601,Aloo Choley
4602,Chicken Noodle Soup
4603,Aloo Bodi Tama
4604,Peshwari Naan
4605,COKE ZERO CAN
4606,Tandoori Pasta
4607,Kabab Karahi
4608,Vegetable Vindaloo
4609,Mysore Keema Dosa
4610,DAAL MAKHANI LUNCH
4611,"Double Chicken Combo (NF, GF)"
4612,"JOSH CELLERS ,ROSE"
4613,Rose Shake
4614,Fish Tandoori
4615,Full Tandoori Chicken (8pc)
4616,Chapathi Small
4617,54. Naan
4618,Pappad
4619,Grand India Special Mango Chicken Curry
4620,Samosa Chole (2 Piece)
4621,Fish Coconut (Lunch)
4622,Natukodi Biryani
4623,Creme Brulee
4624,All Meat Combo 2
4625,Mint Raita
4626,Lamb Tikka Masala Small
4627,PARANTHA
4628,Plain Curd
4629,Methi Chicken
4630,Saag Paneer Large
4631,Shrimp Dopiaza
4632,Hakka Noodle
4633,Chicken Mo Mo Chilly
4634,PANEER BIRYANI BRUNCH
4635,Catering Vegetable Pakora
4636,Vegetable Cutlets
4637,Kashmiri Peas Pulao
4638,Gingerale
4639,Palak Corn Capsicum
4640,Beef Karahi
4641,Paneer Chana Butter Masala
4642,BBQ Wings
4643,Basmati Rice (Small )
4644,Chef*S Special Kulcha ( Choice: Aloo/Gobi/Paneer/Bullet/Cheese/Onion)
4645,Veg - Tiffin Box For Two - ??? ????? ?????
4646,Baingan Bhartha (Vegan)
4647,BHATURA BRUNCH
4648,Bhature 3pc
4649,Egg Fried Rice
4650,Chicken Tacos (3 Pc) (H)
4651,Side Salad
4652,Chicken Paneer Special
4653,Laccha Paratha
4654,Family Naan
4655,Gulab Jamun (2 Pc)
4656,ANGRY TACO
4657,Milkshake
4658,GOOD SH*T SEASONING
4659,Behel-Puri (Lunch)
4660,Black Pepper Seafood
4661,Channa Saagwala (Lunch)
4662,Gulab Jamun 6Pc
4663,Chardonny Bottle
4664,Tawa Biryani
4665,Paper Masa Dosa
4666,Taj Mahal 12 Oz
4667,Coconut Chutney
4668,Cherry Nan
4669,Goat Biryani (Meat on the bone) (HALAL) (Gluten Free)
4670,Corriander & Chilli Large
4671,Masala Limca
4672,Masala Chai Tea
4673,Vegan Palak Tofu
4674,Paneer /Mushroom Sekuwa
4675,MASALADAR BHINDI LUNCH
4676,8 Oz. Pumpkin
4677,Paneer Tikka Kebab App
4678,Chicken & Rice Combo
4679,Mango Ice-Cream
4680,Catering Chicken Vindaloo (Party)
4681,Aloo Poori
4682,Fish Pakora (gluten free)
4683,31. Chicken Kofta Naan
4684,Onion Chut.
4685,15. Mix & Match Chicken Tikka Platter
4686,Potato Chilli
4687,Gobi Dosa
4688,RAITA
4689,"Rustica, Tiramisu"
4690,Seafood Tikka Masala
4691,Medhu Vada
4692,Mixed Seafood Masala
4693,Curry Leaf
